Train Dataset,Test Dataset,Accuracy (%),F1-Score,ROC-AUC,Within-Dataset Acc (%),Performance Drop (%),Drop Percentage
CIC-IDS-2017,CIC-IDS-2018,65.3909600791818,0.4178690344062153,0.7598197776691913,90.41570438799076,25.024744308808963,27.68%
CIC-IDS-2017,UNSW-NB15,50.044999999999995,0.0021971437131728753,0.53228666,100.0,49.955000000000005,49.96%
UNSW-NB15,CIC-IDS-2017,36.85672791564058,0.5386176986250807,0.6113747130375192,99.55799709540949,62.70126917976891,62.98%
UNSW-NB15,CIC-IDS-2018,45.012647091169036,0.6208099499469134,0.3412107928170046,90.41570438799076,45.40305729682172,50.22%
CIC-IDS-2018,CIC-IDS-2017,48.2604028540759,0.35122723673792555,0.46588231111872536,99.55799709540949,51.29759424133359,51.53%
CIC-IDS-2018,UNSW-NB15,19.685,0.06572442273018089,0.116901255,100.0,80.315,80.31%
