,Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,ROC-AUC,TP,TN,FP,FN,FPR,FNR,Training Time (s),Inference Time (ms/10k)
KNN,99.9,0.998202875399361,0.9998,0.9990007993605116,99.9,0.9998489700000001,9998.0,9982.0,18.0,2.0,0.0018,0.0002,0.00589442253112793,13.241611361503603
Decision Tree,100.0,1.0,1.0,1.0,100.0,1.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.2640862464904785,0.002326369285583496
Random Forest,100.0,1.0,1.0,1.0,100.0,1.0,10000.0,10000.0,0.0,0.0,0.0,0.0,7.215339422225952,0.08935976028442384
Naive Bayes,99.33999999999999,0.9869719699960521,1.0,0.9934432743890323,99.34,0.9984,10000.0,9868.0,132.0,0.0,0.0132,0.0,0.04240918159484863,0.006954193115234375
Logistic Regression,99.99,1.0,0.9998,0.9998999899989999,99.99,0.99999976,9998.0,10000.0,0.0,2.0,0.0,0.0002,1.6316685676574707,0.001558423042297363
SVM,99.96000000000001,0.9993004197481511,0.9999,0.9996001199640108,99.96000000000001,0.9999992400000001,9999.0,9993.0,7.0,1.0,0.0007,0.0001,37.892672061920166,1.1161140203475952
XGBoost,100.0,1.0,1.0,1.0,100.0,1.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.5624465942382812,0.008483648300170898
Ensemble (Weighted),100.0,1.0,1.0,1.0,100.0,1.0,10000.0,10000.0,0.0,0.0,0.0,0.0,10.239387273788452,12.214152455329895
