,Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,ROC-AUC,TP,TN,FP,FN,FPR,FNR,Training Time (s),Inference Time (ms/10k)
KNN,99.04022226431773,0.979908829984805,0.9943464108274799,0.9870748299319728,99.122320541374,0.9969696847695735,5804.0,9881.0,119.0,33.0,0.0119,0.00565358917252013,0.0060961246490478516,13.479124967547733
Decision Tree,99.47591084169983,0.9928057553956835,0.9929758437553537,0.9928907922912206,99.43879218776769,0.9943879218776769,5796.0,9958.0,42.0,41.0,0.0042,0.007024156244646223,1.4658613204956055,0.0025728190420191343
Random Forest,99.57694007703479,0.9941760877012675,0.9943464108274799,0.9942612419700214,99.54732054137399,0.9995034778139456,5804.0,9966.0,34.0,33.0,0.0034,0.00565358917252013,11.739358901977539,0.23842098782623614
Naive Bayes,66.66666666666666,0.6021978021978022,0.28165153332191195,0.3837982957861562,58.6525766660956,0.831452595511393,1644.0,8914.0,1086.0,4193.0,0.1086,0.718348466678088,0.05700802803039551,0.008474194492408256
Logistic Regression,90.49062322409547,0.8231607222802567,0.9450059962309405,0.8798851491465943,91.32529981154703,0.9511676203529209,5516.0,8815.0,1185.0,321.0,0.1185,0.05499400376905945,3.621742010116577,0.002736010138657446
SVM,93.59727221064595,0.8846706013718296,0.9501456227514133,0.9162398810507186,93.89228113757066,0.9752686311461367,5546.0,9277.0,723.0,291.0,0.0723,0.0498543772485866,713.4821004867554,24.70934053047548
XGBoost,98.68030561343689,0.971356783919598,0.993489806407401,0.9822986364021343,98.81949032037005,0.998644329278739,5799.0,9829.0,171.0,38.0,0.0171,0.006510193592598938,0.8183937072753906,0.02257577200358042
Ensemble (Weighted),99.55799709540949,0.9926533401674354,0.9953743361315744,0.9940119760479041,99.55371680657872,0.999587330820627,5810.0,9957.0,43.0,27.0,0.0043,0.004625663868425561,14.56303334236145,12.596551687148226
