,Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,ROC-AUC,TP,TN,FP,FN,FPR,FNR,Training Time (s),Inference Time (ms/10k)
KNN,89.03002309468823,0.8965031382092994,0.85499633520645,0.8752579253423373,88.7098167603225,0.949197459076472,6999.0,9192.0,808.0,1187.0,0.0808,0.14500366479354995,0.003816366195678711,13.452873205858056
Decision Tree,87.71032662487627,0.8615870701178758,0.8661128756413389,0.8638440450807189,87.61064378206694,0.8780929086244809,7090.0,8861.0,1139.0,1096.0,0.1139,0.13388712435866112,2.272975206375122,0.004393425394727572
Random Forest,89.22247882986913,0.9049167533818938,0.8498656242365014,0.8765276552853724,88.83828121182506,0.9606347788907892,6957.0,9269.0,731.0,1229.0,0.0731,0.15013437576349867,19.243247032165527,0.2516987535356492
Naive Bayes,71.08764984053668,0.6308077197998571,0.8624480820913755,0.7286613685622871,72.46240410456876,0.8304654226728561,7060.0,5868.0,4132.0,1126.0,0.4132,0.13755191790862448,0.04225516319274902,0.006422330008263138
Logistic Regression,83.4378093038601,0.8177352001965119,0.8133398485218666,0.815531602155806,83.24699242609333,0.8967852064500368,6658.0,8516.0,1484.0,1528.0,0.1484,0.1866601514781334,2.30287504196167,0.0016734923359900172
SVM,88.26569888925548,0.9284905126026621,0.80100171023699,0.8600472193074502,87.5250855118495,0.9260235096506231,6557.0,9495.0,505.0,1629.0,0.0505,0.19899828976301,1474.5507304668427,41.88835050594842
XGBoost,90.69064115253491,0.9678628044386799,0.8204251160517958,0.8880661157024793,89.9062558025898,0.9614707366235035,6716.0,9777.0,223.0,1470.0,0.0223,0.17957488394820426,0.8149204254150391,0.02352433355153754
Ensemble (Weighted),90.41570438799076,0.9486143991087592,0.8321524554116785,0.8865751285221579,89.76262277058392,0.9648278463229905,6812.0,9631.0,369.0,1374.0,0.0369,0.16784754458832152,22.245479345321655,12.598043094829247
